schwellenwert;accuracy;precision;recall;f1_score;false_pos;false_neg;fpr
0.00;0.73;0.73;1.00;0.84;43;0;1.00
0.10;0.81;0.79;1.00;0.88;30;0;0.70
0.20;0.85;0.83;1.00;0.91;23;0;0.53
0.30;0.87;0.85;0.99;0.92;20;1;0.47
0.40;0.88;0.87;0.98;0.92;17;2;0.40
0.50;0.91;0.90;0.98;0.94;13;2;0.31
0.60;0.91;0.90;0.98;0.94;12;2;0.29
0.70;0.92;0.92;0.97;0.95;10;3;0.24
0.75;0.91;0.92;0.96;0.94;10;5;0.24
0.80;0.91;0.92;0.95;0.94;9;6;0.21
0.85;0.90;0.92;0.94;0.93;9;7;0.21
0.90;0.88;0.93;0.91;0.92;8;11;0.19
0.95;0.87;0.94;0.88;0.91;6;14;0.14
0.99;0.78;0.99;0.72;0.83;1;33;0.02
1.00;0.27;1.00;0.00;0.00;0;116;0.00
